xCoord,yCoord
2230.0,2167.0
1692.0,2009.0
2662.0,1969.0
2931.0,1776.0
2393.0,2070.0
3531.0,2614.0
2652.0,2289.0
2906.0,2212.0
3089.0,2339.0
2433.0,2263.0
2535.0,2690.0
2657.0,2766.0
2383.0,2416.0
2850.0,2924.0
2479.0,2502.0
2098.0,2405.0
2159.0,2614.0
2073.0,2863.0
1605.0,1354.0
1641.0,1125.0
1331.0,1389.0
2601.0,1196.0
1422.0,1466.0
1824.0,1268.0
2062.0,1217.0
1438.0,1547.0
2540.0,1252.0
1900.0,1872.0
2667.0,1323.0
2936.0,1339.0
1814.0,2710.0
3007.0,1577.0
3063.0,1471.0
2042.0,1318.0
2377.0,1288.0
2484.0,1293.0
2789.0,1395.0
1930.0,2405.0
3409.0,1374.0
2906.0,1405.0
2032.0,1506.0
1671.0,2761.0
2235.0,1379.0
2113.0,1547.0
1895.0,1903.0
2027.0,2273.0
1402.0,1684.0
2708.0,1405.0
2388.0,1389.0
2936.0,1511.0
1951.0,2218.0
2002.0,2091.0
1590.0,2106.0
1971.0,2035.0
1920.0,1984.0
1895.0,1953.0
3576.0,2365.0
3429.0,2863.0
3287.0,2695.0
3190.0,2218.0
3063.0,2294.0
2931.0,2913.0
3399.0,1872.0
3185.0,2492.0
1697.0,1674.0
2682.0,3015.0
3175.0,1725.0
3231.0,1745.0
3327.0,1831.0
2413.0,2624.0
2443.0,2888.0
2118.0,2304.0
1702.0,1588.0
1956.0,1664.0
1849.0,1115.0
1808.0,1450.0
1483.0,1080.0
1981.0,1826.0
1930.0,1440.0
3190.0,1669.0
3261.0,1730.0
2027.0,2619.0
2108.0,1552.0
3190.0,1547.0
1875.0,2873.0
2078.0,1628.0
2174.0,1598.0
2032.0,1964.0
3287.0,1720.0
3007.0,1496.0
3429.0,1720.0
1605.0,2614.0
1575.0,2411.0
1478.0,1776.0
1661.0,2385.0
1803.0,2451.0
1478.0,2192.0
1539.0,2096.0
2088.0,2212.0
1544.0,1806.0
1722.0,2223.0
2123.0,2172.0
2327.0,1974.0
2179.0,2182.0
1610.0,1923.0
1864.0,2172.0
