xCoord,yCoord
2941.0,2350.0
3165.0,1450.0
2697.0,1303.0
2504.0,2157.0
3094.0,1395.0
2885.0,2416.0
2540.0,2355.0
2637.0,2553.0
2667.0,2609.0
1610.0,1049.0
1712.0,1242.0
1600.0,1354.0
1128.0,1171.0
894.0,1293.0
1062.0,1247.0
1326.0,1359.0
1219.0,1313.0
2002.0,1156.0
1483.0,1445.0
2591.0,1049.0
1067.0,1445.0
2032.0,1049.0
1941.0,1308.0
2205.0,1151.0
1610.0,1527.0
1798.0,1354.0
1016.0,1557.0
1245.0,1542.0
2388.0,1095.0
914.0,1618.0
1681.0,1445.0
1763.0,1445.0
1402.0,1501.0
2545.0,1125.0
2083.0,2284.0
2052.0,2492.0
1560.0,1552.0
1397.0,1649.0
2393.0,1202.0
1265.0,1710.0
2225.0,1268.0
1844.0,2441.0
2601.0,1186.0
2083.0,1339.0
2525.0,1212.0
1641.0,1638.0
1636.0,1842.0
1946.0,1811.0
1605.0,1892.0
1753.0,1755.0
2967.0,1486.0
3236.0,2243.0
2880.0,1262.0
3012.0,2258.0
2911.0,2319.0
2581.0,2258.0
3058.0,851.0
2921.0,998.0
2753.0,2482.0
2830.0,2482.0
2880.0,699.0
2718.0,1161.0
2377.0,2131.0
2017.0,937.0
2738.0,1039.0
2098.0,1080.0
2220.0,2517.0
1737.0,1532.0
2215.0,2080.0
1885.0,2654.0
2032.0,2512.0
2311.0,2111.0
1468.0,1786.0
1676.0,1745.0
2159.0,2055.0
1641.0,1989.0
2637.0,1334.0
2230.0,1948.0
2667.0,1293.0
2316.0,2055.0
2489.0,1801.0
2672.0,1440.0
2748.0,1415.0
2840.0,1704.0
2794.0,1918.0
2982.0,1740.0
