xCoord,yCoord
3078.0,2223.0
3246.0,1623.0
3317.0,1552.0
3195.0,2182.0
3266.0,2299.0
3312.0,1750.0
3459.0,1557.0
3754.0,1938.0
2967.0,2624.0
3246.0,2812.0
2769.0,2441.0
3393.0,1288.0
3754.0,1237.0
2896.0,2751.0
2682.0,2548.0
2560.0,2284.0
2215.0,851.0
3099.0,912.0
1290.0,836.0
1580.0,902.0
2413.0,678.0
3612.0,729.0
2073.0,699.0
3338.0,765.0
1819.0,978.0
2164.0,942.0
3211.0,963.0
3266.0,1115.0
2830.0,932.0
2504.0,988.0
2875.0,1054.0
2042.0,1049.0
1285.0,1207.0
1839.0,1125.0
1605.0,1064.0
2449.0,2532.0
3053.0,1014.0
2697.0,958.0
2362.0,1115.0
1590.0,1268.0
2007.0,1273.0
2042.0,1415.0
1412.0,1400.0
1427.0,1308.0
2311.0,1171.0
2230.0,1196.0
3053.0,1135.0
2637.0,1110.0
2946.0,1186.0
1910.0,1339.0
2850.0,1156.0
1575.0,1481.0
2443.0,1334.0
1930.0,1461.0
1722.0,1450.0
1834.0,1511.0
1514.0,1593.0
1854.0,2187.0
1834.0,2441.0
1356.0,2253.0
1986.0,1755.0
1509.0,1699.0
1768.0,1669.0
3211.0,1196.0
3703.0,1852.0
3490.0,1933.0
3698.0,2157.0
3805.0,1577.0
3581.0,1227.0
3566.0,2670.0
3043.0,2416.0
3480.0,1186.0
3607.0,1156.0
3739.0,1115.0
2647.0,2243.0
3520.0,1080.0
3744.0,988.0
3429.0,1115.0
1351.0,942.0
2540.0,678.0
2377.0,729.0
2784.0,663.0
3505.0,963.0
1915.0,724.0
3343.0,1003.0
2616.0,2218.0
2118.0,775.0
2540.0,2482.0
1351.0,1359.0
2139.0,1461.0
2311.0,1252.0
1971.0,2573.0
2581.0,2187.0
2510.0,1603.0
3322.0,1227.0
1707.0,2080.0
1651.0,1730.0
2697.0,1755.0
1900.0,2070.0
2621.0,2192.0
2814.0,1837.0
3277.0,1323.0
3150.0,1445.0
2662.0,2172.0
2992.0,1760.0
3180.0,1710.0
